Word,PartOfSpeech,Pronunciation,EnDefinition,DHSDefinition,EnGloss,Notes,Synonym,Antonym,CoordinateTerms,DeGloss,NlGloss,SvGloss,AfGloss,DaGloss,NnGloss,NdsGloss,YiGloss
afend,n,ɑːfɛnt,The period of time at the end of the day.,,evening,,,,middag;nakt;morgen,Abend,avond,kväll;afton,aand,aften,kveld,Avend,אָוונט
afendmaal,n,ɑːfɛndmɑːl,A meal at the end of the say.,,supper;dinner,,,,middagmaal;morgenmaal,Abendessen,avondmaal,kvällsmat,aandete,aftensmad,kveldsmat,avendeeten,וועטשערע
after,prep,æftɛr,In the time following,,after;beyond;post,,,,,nach,achter,efter,na,efter,etter,hinter,נאָך
akt,num,ækt,8,8,eight,,,,,acht,acht,åtta,agt,otte,åtte,acht,אַכט
aktief,adj,æktiːf,,,active,,,,aktiv,actief,aktiva,aktief,aktiv,aktiv,,
aktien,num,æktiːn,18,18,eighteen,,,,,achtzehn,achttien,arton,agtien,atten,atten,,
aktig,num,æktɪk,80,80,eighty,,,,,achtzig,tachtig,åttio,firs,åtti,,
